talent_entity_id,talent_name,talent_slug,talent_image_url,player_landing_page
8a93a0cd-a7e3-4bb1-bfaa-108209b40903,Tim Pool,tim-pool,,https://www.siriusxm.com/player/talent/entity/8a93a0cd-a7e3-4bb1-bfaa-108209b40903
52c29f3c-a3de-45df-ba5c-8646b32bac3c,Tim Walz,tim-walz,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC9jNS9jNThhZGQ0ZTc2YzY4Y2JjZWJiMmNjYTQ5NTg3MjY1MV8xNzI4NjczMjExMTEyLmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/52c29f3c-a3de-45df-ba5c-8646b32bac3c
f9f3553a-d83b-4fd7-a29e-42cb1e2c50f9,Tinx,tinx,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC8wYi8wYjA5ZmNkYzU3YzgxMzlkOWRkNGNlMzY3OTFiZDVkNV8xNzA5MTQ2NDk4NjI0LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/f9f3553a-d83b-4fd7-a29e-42cb1e2c50f9
5116d6dd-641a-4946-96e0-309995156ea0,Tiësto,ti-sto,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC84NS84NTU5NGVjMGQ1MDE5MTIwYjU3ZjVkNTMyM2VlOTA2NF8xNzA0MzIzNzAzNDA0LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/5116d6dd-641a-4946-96e0-309995156ea0
88c52ba7-dee9-4d22-8a7f-f03092fd1f28,Toby Keith,toby-keith,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC83OS83OTU1ZDE3MzU0NjhjODIwNTUwMmVkOGZiODI1MGEwYV8xNzAwNjIxMzY3ODU0LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/88c52ba7-dee9-4d22-8a7f-f03092fd1f28
4de97846-62fc-476a-9a5a-2c3226ecd5ec,Todd Gordon,todd-gordon,,https://www.siriusxm.com/player/talent/entity/4de97846-62fc-476a-9a5a-2c3226ecd5ec
c764b4dc-a877-456e-964d-70de01644a2c,Tom Brady,tom-brady,,https://www.siriusxm.com/player/talent/entity/c764b4dc-a877-456e-964d-70de01644a2c
a8654186-c377-4d4a-96b9-502021e968cb,Tom Hanks,tom-hanks,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC85Zi85ZjQ2M2RhNTUyNTY2N2U1MzcwZGUwODNhMWQ1NzdkYV8xNzE5NDk3NjkxMjU2LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/a8654186-c377-4d4a-96b9-502021e968cb
b257d09d-d750-44ff-bcab-09439ef6acc8,Tom Morello,tom-morello,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC8wYy8wYzc0MGZlN2U4YmU0ZWI5N2FhOGM4NTMzZWI0ZGI1Ml8xNzAyMjI4ODA3MDM3LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/b257d09d-d750-44ff-bcab-09439ef6acc8
ed139028-7a3f-4d0a-99e6-b9c7e22573ec,Tom Papa,tom-papa,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC9mNC9mNGQyYWMyYjY0ZGM4OTNjZjlmNWE2ODc5NGRjZDk2N18xNzA4OTc5NjY0OTA0LnBuZyIsImVkaXRzIjpbeyJmb3JtYXQiOnsidHlwZSI6ImpwZWcifX0seyJyZXNpemUiOnsid2lkdGgiOjYwMCwiaGVpZ2h0Ijo2MDB9fV19,https://www.siriusxm.com/player/talent/entity/ed139028-7a3f-4d0a-99e6-b9c7e22573ec
624c1777-351d-4ab4-bda6-9e76019cfd3b,Tom Papa,tom-papa,,https://www.siriusxm.com/player/talent/entity/624c1777-351d-4ab4-bda6-9e76019cfd3b
81d3c4ee-48da-4804-9618-c266cddc6f3e,Tom Rennie,tom-rennie,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC83OC83ODRjNTYzMGY4MGVjZGUyZmRhMjEzYmFjZTFkNTYyNV8xNzQxMjAyNDQyMzI4LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/81d3c4ee-48da-4804-9618-c266cddc6f3e
63e5ae0e-83fb-4004-89d0-21c6636d2844,Tom Rhodes (Comedian),tom-rhodes-comedian,,https://www.siriusxm.com/player/talent/entity/63e5ae0e-83fb-4004-89d0-21c6636d2844
77f99c54-f234-4613-bfdf-3b41417c2f76,Tom Segura,tom-segura,,https://www.siriusxm.com/player/talent/entity/77f99c54-f234-4613-bfdf-3b41417c2f76
a24e3c88-54a8-49ff-b588-0601cd7b2f75,Tom Segura,tom-segura,,https://www.siriusxm.com/player/talent/entity/a24e3c88-54a8-49ff-b588-0601cd7b2f75
d2402ee8-c50e-4f94-a1af-34e418c405be,Tommee Profitt,tommee-profitt,,https://www.siriusxm.com/player/talent/entity/d2402ee8-c50e-4f94-a1af-34e418c405be
5a11faf7-8b2c-4835-94d5-d6cf0a1d78c5,Tommy Dreamer,tommy-dreamer,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC9mMS9mMTFlOTc5NjEzOTQ2MjhiMjg3NTJjNmRlZjA2MzY2OV8xNzQxMjcwNTI5NDM3LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/5a11faf7-8b2c-4835-94d5-d6cf0a1d78c5
1ce1511a-6d37-4b61-8b6b-99f9aa2b118e,Tommy James,tommy-james,,https://www.siriusxm.com/player/talent/entity/1ce1511a-6d37-4b61-8b6b-99f9aa2b118e
c7aef8e7-6fc1-49c0-8828-a5029174f6ac,Tommy London,tommy-london,https://imgsrv-sxm-prod-device.streaming.siriusxm.com/eyJrZXkiOiJlbnRpdHktbWFuYWdlbWVudC81Yy81Y2RiM2VlN2Q2MTY0YmQ1ZGZkMzBlODhlYzM5YWM5ZV8xNzA5NjgxMTIxNjE5LmpwZWciLCJlZGl0cyI6W3siZm9ybWF0Ijp7InR5cGUiOiJqcGVnIn19LHsicmVzaXplIjp7IndpZHRoIjo2MDAsImhlaWdodCI6NjAwfX1dfQ==,https://www.siriusxm.com/player/talent/entity/c7aef8e7-6fc1-49c0-8828-a5029174f6ac
